name,path,duration,bitrate,size_mb,num_streams,format
16-Spanish Fandango.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\C\16-Spanish Fandango.mp3,106.475102,136866.0,1.7387628555297852,1,.mp3
17-Amazing Grace.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Other\Civil War Music Collectors Edition\C\17-Amazing Grace.mp3,310.021224,149724.0,5.535016059875488,1,.mp3
'Weird Al' Yankovic - Party In the CIA (Parody of 'Party In The U.S.A.' by Miley Cyrus).mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\'Weird Al' Yankovic - Party In the CIA (Parody of 'Party In The U.S.A.' by Miley Cyrus).mp3,176.736,131198.0,2.981387138366699,2,.mp3
'Weird Al' Yankovic - The Saga Begins (Lyrical Adaption of 'American Pie').mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\'Weird Al' Yankovic - The Saga Begins (Lyrical Adaption of 'American Pie').mp3,328.224,132463.0,5.493780136108398,2,.mp3
2nd South Carolina String Band - Battle Cry of Freedom.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\2nd South Carolina String Band - Battle Cry of Freedom.mp3,205.296,136120.0,3.470101356506348,2,.mp3
82nd Airborne All-American Chorus - Airborne Medley.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Airborne Medley.mp3,332.424,127875.0,5.2911529541015625,2,.mp3
82nd Airborne All-American Chorus - Amazing Grace.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Amazing Grace.mp3,138.384,118464.0,2.102782249450684,2,.mp3
82nd Airborne All-American Chorus - America The Beautiful.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - America The Beautiful.mp3,155.736,128930.0,2.6421852111816406,2,.mp3
82nd Airborne All-American Chorus - Ballad of the Green Beret.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Ballad of the Green Beret.mp3,180.6,128841.0,2.923206329345703,2,.mp3
82nd Airborne All-American Chorus - Blood Upon the Risers.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\82nd Airborne All-American Chorus - Blood Upon the Risers.mp3,274.56,125150.0,4.324526786804199,2,.mp3
